date,bullish_prob,bearish_prob,net_prob,mean_drift
2025-03-02,0.8666666666666667,0.13333333333333333,0.7333333333333334,1668.0256907407409
2025-03-03,0.7333333333333333,0.26666666666666666,0.4666666666666666,1703.9454351851828
2025-03-04,0.8666666666666667,0.13333333333333333,0.7333333333333334,1628.9638346560855
2025-03-05,0.7555555555555555,0.24444444444444444,0.5111111111111111,1730.3324722222246
2025-03-06,0.8888888888888888,0.1111111111111111,0.7777777777777777,1828.7999314814815
2025-03-07,0.8888888888888888,0.1111111111111111,0.7777777777777777,1659.358035185188
2025-03-08,0.9333333333333333,0.06666666666666667,0.8666666666666667,1692.9273743386225
2025-03-09,0.9555555555555556,0.044444444444444446,0.9111111111111112,1690.2182084656108
2025-03-10,0.9111111111111111,0.08888888888888889,0.8222222222222222,1981.153732539683
2025-03-11,0.9333333333333333,0.06666666666666667,0.8666666666666667,1880.0437558201052
2025-03-12,0.9777777777777777,0.022222222222222223,0.9555555555555555,1893.6998203703706
2025-03-13,1.0,0.0,1.0,1768.9768185185164
2025-03-14,0.8888888888888888,0.1111111111111111,0.7777777777777777,1738.080144444449
2025-03-15,0.9555555555555556,0.044444444444444446,0.9111111111111112,1766.3984092592611
2025-03-16,0.9555555555555556,0.044444444444444446,0.9111111111111112,1516.3112931216951
2025-03-17,0.9555555555555556,0.044444444444444446,0.9111111111111112,1605.410209259261
2025-03-18,0.9111111111111111,0.08888888888888889,0.8222222222222222,1610.503998148147
2025-03-19,0.9555555555555556,0.044444444444444446,0.9111111111111112,1732.5496129629657
2025-03-20,0.9333333333333333,0.06666666666666667,0.8666666666666667,2118.3598296296273
2025-03-21,0.8666666666666667,0.13333333333333333,0.7333333333333334,1949.8375740740737
2025-03-22,0.8888888888888888,0.1111111111111111,0.7777777777777777,1783.0317092592602
2025-03-23,0.8666666666666667,0.13333333333333333,0.7333333333333334,1624.6415444444438
2025-03-24,0.8666666666666667,0.13333333333333333,0.7333333333333334,1854.5885388888914
2025-03-25,0.8666666666666667,0.13333333333333333,0.7333333333333334,1779.0333851851865
2025-03-26,0.9111111111111111,0.08888888888888889,0.8222222222222222,1943.1262314814815
2025-03-27,0.9111111111111111,0.08888888888888889,0.8222222222222222,2010.2349907407388
2025-03-28,0.8888888888888888,0.1111111111111111,0.7777777777777777,2006.1353177248682
2025-03-29,0.8888888888888888,0.1111111111111111,0.7777777777777777,1893.3464359788343
2025-03-30,0.9333333333333333,0.06666666666666667,0.8666666666666667,1791.013135449737
2025-03-31,0.8222222222222222,0.17777777777777778,0.6444444444444444,2005.5143232804219
2025-04-01,0.8666666666666667,0.13333333333333333,0.7333333333333334,1825.3111063492065
2025-04-02,0.8222222222222222,0.17777777777777778,0.6444444444444444,1771.2383727513234
2025-04-03,0.8666666666666667,0.13333333333333333,0.7333333333333334,1688.4388857142858
2025-04-04,0.9555555555555556,0.044444444444444446,0.9111111111111112,1623.2724505290985
2025-04-05,0.8444444444444444,0.15555555555555556,0.6888888888888889,1644.3626018518512
2025-04-06,0.8666666666666667,0.13333333333333333,0.7333333333333334,1635.5945907407377
2025-04-07,0.9333333333333333,0.06666666666666667,0.8666666666666667,1488.2744185185195
2025-04-08,0.8666666666666667,0.13333333333333333,0.7333333333333334,1304.592428571428
2025-04-09,0.9333333333333333,0.06666666666666667,0.8666666666666667,1368.182267460314
2025-04-10,0.9333333333333333,0.06666666666666667,0.8666666666666667,1578.8593182539685
2025-04-11,0.8444444444444444,0.15555555555555556,0.6888888888888889,1517.8300888888893
2025-04-12,0.8888888888888888,0.1111111111111111,0.7777777777777777,1533.1607796296287
2025-04-13,0.9111111111111111,0.08888888888888889,0.8222222222222222,1708.5960833333343
2025-04-14,0.9333333333333333,0.06666666666666667,0.8666666666666667,1408.1742037037013
2025-04-15,0.9111111111111111,0.08888888888888889,0.8222222222222222,1721.2716962962954
2025-04-16,0.8888888888888888,0.1111111111111111,0.7777777777777777,1763.8421111111102
2025-04-17,0.9555555555555556,0.044444444444444446,0.9111111111111112,1829.852214285715
2025-04-18,0.9555555555555556,0.044444444444444446,0.9111111111111112,2081.072235185187
2025-04-19,0.9333333333333333,0.06666666666666667,0.8666666666666667,1804.5477621693105
2025-04-20,0.9333333333333333,0.06666666666666667,0.8666666666666667,1548.7827629629587
2025-04-21,0.8666666666666667,0.13333333333333333,0.7333333333333334,1912.8848658730162
2025-04-22,0.8666666666666667,0.13333333333333333,0.7333333333333334,1583.6390629629643
2025-04-23,0.9111111111111111,0.08888888888888889,0.8222222222222222,1504.1347920634926
2025-04-24,0.8666666666666667,0.13333333333333333,0.7333333333333334,1459.9753825396829
2025-04-25,0.8888888888888888,0.1111111111111111,0.7777777777777777,1562.554480423281
2025-04-26,0.8888888888888888,0.1111111111111111,0.7777777777777777,1511.0128513227507
2025-04-27,0.9111111111111111,0.08888888888888889,0.8222222222222222,1435.0419018518512
2025-04-28,0.9111111111111111,0.08888888888888889,0.8222222222222222,1503.9325777777774
2025-04-29,0.8888888888888888,0.1111111111111111,0.7777777777777777,1292.346050793651
2025-04-30,0.8666666666666667,0.13333333333333333,0.7333333333333334,1171.2907108465613
2025-05-01,0.8,0.2,0.6000000000000001,1185.1309203703688
2025-05-02,0.8666666666666667,0.13333333333333333,0.7333333333333334,1189.4869111111113
2025-05-03,0.7555555555555555,0.24444444444444444,0.5111111111111111,1332.0406611111111
2025-05-04,0.8,0.2,0.6000000000000001,1635.821785185185
2025-05-05,0.7333333333333333,0.26666666666666666,0.4666666666666666,1449.422530687829
