date,state,regime,confidence,prob_sideways,prob_bear,prob_bull
2025-03-02,1,bear,1.0,8.72542961341662e-184,1.0,0.0
2025-03-03,1,bear,1.0,9.261811374345474e-21,1.0,9.846212156867721e-18
2025-03-04,1,bear,1.0,1.7220425550034112e-20,1.0,5.752692421457278e-17
2025-03-05,1,bear,1.0,1.809975681147095e-21,1.0,2.7222445093006384e-18
2025-03-06,1,bear,1.0,2.9446313864969515e-23,1.0,1.4942794451194116e-18
2025-03-07,1,bear,1.0,1.4270946331286852e-20,1.0,2.3602825401594792e-17
2025-03-08,1,bear,1.0,1.0608233790378722e-20,1.0,1.2187249874710695e-17
2025-03-09,1,bear,1.0,1.3471423867773906e-20,1.0,2.0083475958956746e-17
2025-03-10,1,bear,1.0,1.3737034142795477e-20,1.0,2.115683442605896e-17
2025-03-11,1,bear,1.0,8.107852971858326e-21,1.0,8.233334324004297e-18
2025-03-12,1,bear,1.0,1.2220783030167784e-20,1.0,1.5966937314492813e-17
2025-03-13,1,bear,1.0,1.583900131398032e-20,1.0,3.4439458293901527e-17
2025-03-14,1,bear,1.0,8.61874809646525e-21,1.0,8.91011324727348e-18
2025-03-15,1,bear,1.0,1.1613208222847617e-20,1.0,1.4384454740662456e-17
2025-03-16,1,bear,1.0,1.572975642432101e-20,1.0,3.340994792363592e-17
2025-03-17,1,bear,1.0,1.5400388853622719e-21,1.0,2.544981863417517e-18
2025-03-18,1,bear,1.0,2.0569572577800802e-22,1.0,1.5965060164527139e-18
2025-03-19,1,bear,1.0,6.110501101398107e-21,1.0,6.030038228003066e-18
2025-03-20,1,bear,1.0,1.0913865427047938e-21,1.0,2.247381410012699e-18
2025-03-21,1,bear,1.0,1.5652266396077947e-21,1.0,2.5599200536372114e-18
2025-03-22,1,bear,0.9999993654507501,6.345492327562583e-07,0.9999993654507501,5.703635618378537e-14
2025-03-23,1,bear,0.9999994663743623,5.336255771751681e-07,0.9999994663743623,6.521555477048706e-14
2025-03-24,1,bear,0.9999999994004156,5.994627309057889e-10,0.9999999994004156,2.2910345021133e-13
2025-03-25,1,bear,0.9999992540479579,7.457990147116642e-07,0.9999992540479579,1.5293414600304424e-10
2025-03-26,1,bear,0.9999980531698235,1.9468292806629367e-06,0.9999980531698235,1.0033335580002501e-12
2025-03-27,1,bear,0.9999995911465175,4.0885265090185063e-07,0.9999995911465175,7.386308963546598e-13
2025-03-28,1,bear,0.9999989820653988,1.0179262191956961e-06,0.9999989820653988,8.430557978377614e-12
2025-03-29,1,bear,0.9999990551782418,9.448156141628025e-07,0.9999990551782418,6.156249346019414e-12
2025-03-30,1,bear,0.999999874918793,1.2507276657257913e-07,0.999999874918793,8.48019257228931e-12
2025-03-31,1,bear,0.9999998436012569,1.5354708080984798e-07,0.9999998436012569,2.8516887147523833e-09
2025-04-01,1,bear,0.9999999999938609,3.760928332313243e-12,0.9999999999938609,2.371234214015509e-12
2025-04-02,1,bear,0.999999995199687,1.6286632674418473e-09,0.999999995199687,3.1715577437688533e-09
2025-04-03,1,bear,0.9999999991434834,2.37726897472705e-10,0.9999999991434834,6.187158181617459e-10
2025-04-04,1,bear,0.9999999999381544,1.0926047882576843e-15,0.9999999999381544,6.187423154900295e-11
2025-04-05,1,bear,0.9999999997867235,7.042398817269531e-13,0.9999999997867235,2.1262259254194977e-10
2025-04-06,1,bear,0.9999999996889528,4.5137571043487346e-13,0.9999999996889528,3.106204189168941e-10
2025-04-07,1,bear,0.9998793730833854,1.5762038292668016e-36,0.9998793730833854,0.00012062691669744474
2025-04-08,2,bull,0.9999999998706244,4.979395024130635e-35,1.2939332570881182e-10,0.9999999998706244
2025-04-09,2,bull,0.9999999999990905,7.897583796867921e-40,9.266162446245632e-13,0.9999999999990905
2025-04-10,2,bull,0.9999999999781721,4.270256431567739e-62,2.1888677951543037e-11,0.9999999999781721
2025-04-11,2,bull,0.9999999999629381,5.3582059801677365e-74,3.699220260585003e-11,0.9999999999629381
2025-04-12,2,bull,0.9999999992903668,1.572753016350718e-77,7.097118399427622e-10,0.9999999992903668
2025-04-13,2,bull,0.9999999999547526,2.0367366921069897e-73,4.520720959893261e-11,0.9999999999547526
2025-04-14,2,bull,0.9999999997985469,2.943791383593128e-76,2.0149746734997802e-10,0.9999999997985469
2025-04-15,2,bull,0.9999999999238298,1.9771383144153581e-78,7.617413025202894e-11,0.9999999999238298
2025-04-16,2,bull,0.9999999965764346,1.4552372199349614e-77,3.423549161282348e-09,0.9999999965764346
2025-04-17,2,bull,0.9999999970589215,5.177987931427093e-76,2.9411763240103103e-09,0.9999999970589215
2025-04-18,2,bull,0.9999999864021447,4.012255899906765e-72,1.3597876447883283e-08,0.9999999864021447
2025-04-19,2,bull,0.9999983796889804,1.0116849075602629e-73,1.6203110091633312e-06,0.9999983796889804
2025-04-20,2,bull,1.0,7.842303095692008e-78,3.3667673792677417e-16,1.0
2025-04-21,2,bull,1.0,2.129826490268923e-85,7.983875450521557e-16,1.0
2025-04-22,2,bull,1.0,1.5857826457788913e-92,3.1816006436955424e-21,1.0
2025-04-23,2,bull,1.0,2.5772573313012923e-96,4.209688148427177e-26,1.0
2025-04-24,2,bull,1.0,8.224140649835609e-86,1.9023108811109384e-23,1.0
2025-04-25,2,bull,1.0,3.716874752003831e-89,4.339881599088785e-19,1.0
2025-04-26,2,bull,1.0,2.563774941258148e-59,1.0570084316359685e-29,1.0
2025-04-27,2,bull,0.9999999999413376,7.849931866649439e-50,5.870130443696589e-11,0.9999999999413376
