date,state,regime,confidence,prob_low-volatility,prob_bull,prob_high-volatility,prob_bear
2025-05-15,2,high-volatility,1.0,1.128027393737914e-58,0.0,1.0,0.0
2025-05-16,2,high-volatility,1.0,4.215250968229975e-44,0.0,1.0,0.0
2025-05-17,2,high-volatility,1.0,3.2711628882993305e-28,0.0,1.0,0.0
2025-05-18,2,high-volatility,0.9999999989913704,1.0086048146862186e-09,0.0,0.9999999989913704,0.0
2025-05-19,2,high-volatility,0.9999999968558768,3.1440752666940536e-09,0.0,0.9999999968558768,0.0
2025-05-20,2,high-volatility,1.0,7.767661573296279e-19,0.0,1.0,0.0
2025-05-21,2,high-volatility,1.0,1.2293251317219718e-53,0.0,1.0,0.0
2025-05-22,2,high-volatility,1.0,3.7442572364073916e-44,0.0,1.0,0.0
2025-05-23,2,high-volatility,1.0,6.254104257619925e-53,0.0,1.0,0.0
2025-05-24,2,high-volatility,1.0,7.899127086664983e-60,0.0,1.0,0.0
2025-05-25,2,high-volatility,1.0,1.6375930874045458e-66,0.0,1.0,0.0
2025-05-26,2,high-volatility,1.0,1.3743349374974396e-72,0.0,1.0,0.0
2025-05-27,2,high-volatility,1.0,1.4860607229965137e-83,0.0,1.0,0.0
2025-05-28,2,high-volatility,1.0,4.325376129085218e-89,0.0,1.0,0.0
2025-05-29,2,high-volatility,1.0,2.8703282594761335e-94,0.0,1.0,0.0
2025-05-30,2,high-volatility,1.0,3.009194451058308e-98,0.0,1.0,0.0
2025-05-31,2,high-volatility,1.0,2.896896850364443e-95,0.0,1.0,0.0
2025-06-01,2,high-volatility,1.0,7.119530799219137e-89,0.0,1.0,0.0
2025-06-02,2,high-volatility,1.0,1.3424145215811849e-83,0.0,1.0,0.0
2025-06-03,2,high-volatility,1.0,3.745611998316054e-76,0.0,1.0,0.0
2025-06-04,2,high-volatility,1.0,1.3903298864278245e-67,0.0,1.0,0.0
2025-06-05,2,high-volatility,1.0,1.2519546056081489e-56,0.0,1.0,0.0
2025-06-06,2,high-volatility,1.0,1.5710753410251305e-46,0.0,1.0,0.0
2025-06-07,2,high-volatility,1.0,2.299391220525789e-35,0.0,1.0,0.0
2025-06-08,2,high-volatility,1.0,1.237378361637536e-22,0.0,1.0,0.0
2025-06-09,2,high-volatility,0.9999999954453642,4.554656384282069e-09,0.0,0.9999999954453642,0.0
2025-06-10,2,high-volatility,1.0,4.749047802589325e-18,0.0,1.0,0.0
2025-06-11,2,high-volatility,1.0,7.305277443408459e-35,0.0,1.0,0.0
2025-06-12,2,high-volatility,1.0,4.523597025580035e-50,0.0,1.0,0.0
2025-06-13,2,high-volatility,1.0,6.80582023110797e-62,0.0,1.0,0.0
2025-06-14,2,high-volatility,1.0,6.847830394705304e-71,0.0,1.0,0.0
2025-06-15,2,high-volatility,1.0,7.106928572680731e-79,0.0,1.0,0.0
2025-06-16,2,high-volatility,1.0,1.0838689045602835e-86,0.0,1.0,0.0
2025-06-17,2,high-volatility,1.0,1.1905329732030077e-91,0.0,1.0,0.0
2025-06-18,2,high-volatility,1.0,1.1047515593406003e-93,0.0,1.0,0.0
2025-06-19,2,high-volatility,1.0,1.0974278570460511e-93,0.0,1.0,0.0
2025-06-20,2,high-volatility,1.0,2.730698218832513e-91,0.0,1.0,0.0
2025-06-21,2,high-volatility,1.0,5.1710342970929956e-89,0.0,1.0,0.0
2025-06-22,2,high-volatility,1.0,7.422298964042363e-84,0.0,1.0,0.0
2025-06-23,2,high-volatility,1.0,4.339048309286427e-78,0.0,1.0,0.0
2025-06-24,2,high-volatility,1.0,1.0023131315219332e-69,0.0,1.0,0.0
2025-06-25,2,high-volatility,1.0,8.841568556273708e-57,0.0,1.0,0.0
2025-06-26,2,high-volatility,1.0,2.1619477647658747e-43,0.0,1.0,0.0
2025-06-27,2,high-volatility,1.0,2.2851284638622438e-27,0.0,1.0,0.0
2025-06-28,2,high-volatility,0.9999977892016996,2.210798290241982e-06,0.0,0.9999977892016996,0.0
2025-06-29,0,low-volatility,0.999608484858486,0.999608484858486,0.0,0.00039151514154126265,0.0
2025-06-30,0,low-volatility,0.9999998799413633,0.9999998799413633,0.0,1.2005859757355798e-07,0.0
2025-07-01,0,low-volatility,0.9999999841234058,0.9999999841234058,0.0,1.5876584439129124e-08,0.0
2025-07-02,0,low-volatility,0.9999999852551582,0.9999999852551582,0.0,1.4744878034035216e-08,0.0
2025-07-03,0,low-volatility,0.9999998961658375,0.9999998961658375,0.0,1.0383417916301619e-07,0.0
2025-07-04,0,low-volatility,0.9999999238941684,0.9999999238941684,0.0,7.610585144253453e-08,0.0
2025-07-05,0,low-volatility,0.9999999131137012,0.9999999131137012,0.0,8.688624565489973e-08,0.0
2025-07-06,0,low-volatility,0.9999998472028554,0.9999998472028554,0.0,1.5279709765481173e-07,0.0
2025-07-07,0,low-volatility,0.9999997465227218,0.9999997465227218,0.0,2.534772312849328e-07,0.0
2025-07-08,0,low-volatility,0.9999997829958382,0.9999997829958382,0.0,2.1700417856326813e-07,0.0
2025-07-09,0,low-volatility,0.9999998321274147,0.9999998321274147,0.0,1.6787252934838327e-07,0.0
2025-07-10,0,low-volatility,0.9999998644052631,0.9999998644052631,0.0,1.3559475991774055e-07,0.0
2025-07-11,0,low-volatility,0.9999999266326567,0.9999999266326567,0.0,7.336729479372684e-08,0.0
2025-07-12,0,low-volatility,0.999999982857844,0.999999982857844,0.0,1.7142166569003646e-08,0.0
2025-07-13,0,low-volatility,0.9999998886590964,0.9999998886590964,0.0,1.113409080650417e-07,0.0
2025-07-14,0,low-volatility,0.9999974219406603,0.9999974219406603,0.0,2.5780592858730516e-06,0.0
2025-07-15,0,low-volatility,0.9999984046517276,0.9999984046517276,0.0,1.5953482644688443e-06,0.0
2025-07-16,0,low-volatility,0.9999999653101673,0.9999999653101673,0.0,3.468982523440616e-08,0.0
2025-07-17,0,low-volatility,0.99999993531924,0.99999993531924,0.0,6.468071301000853e-08,0.0
2025-07-18,0,low-volatility,0.9999998264788852,0.9999998264788852,0.0,1.7352112314938237e-07,0.0
2025-07-19,0,low-volatility,0.9999999034946587,0.9999999034946587,0.0,9.650533231581129e-08,0.0
2025-07-20,0,low-volatility,0.9999998712987773,0.9999998712987773,0.0,1.2870124404593525e-07,0.0
2025-07-21,0,low-volatility,0.9999999390836384,0.9999999390836384,0.0,6.091636737530527e-08,0.0
2025-07-22,0,low-volatility,0.9999999128730261,0.9999999128730261,0.0,8.712701761472731e-08,0.0
2025-07-23,0,low-volatility,0.9999991508335792,0.9999991508335792,0.0,8.491664112826816e-07,0.0
2025-07-24,0,low-volatility,0.999998535039076,0.999998535039076,0.0,1.4649609573385977e-06,0.0
2025-07-25,0,low-volatility,0.9999992746342417,0.9999992746342417,0.0,7.253657353913732e-07,0.0
2025-07-26,0,low-volatility,0.9999993559283467,0.9999993559283467,0.0,6.440716459591134e-07,0.0
2025-07-27,0,low-volatility,0.999999461913748,0.999999461913748,0.0,5.380862536142271e-07,0.0
2025-07-28,0,low-volatility,0.9999994115297026,0.9999994115297026,0.0,5.884703316640079e-07,0.0
2025-07-29,0,low-volatility,0.9999981705739992,0.9999981705739992,0.0,1.8294259489631706e-06,0.0
2025-07-30,0,low-volatility,0.999999388460838,0.999999388460838,0.0,6.115391662210476e-07,0.0
2025-07-31,0,low-volatility,0.9999998653668263,0.9999998653668263,0.0,1.3463315364947925e-07,0.0
2025-08-01,0,low-volatility,0.999998557499015,0.999998557499015,0.0,1.442501021067132e-06,0.0
2025-08-02,0,low-volatility,0.9999999137509159,0.9999999137509159,0.0,8.624906323208021e-08,0.0
2025-08-03,0,low-volatility,0.9999999317407197,0.9999999317407197,0.0,6.825925193309324e-08,0.0
2025-08-04,0,low-volatility,0.9999999408563571,0.9999999408563571,0.0,5.914361891375612e-08,0.0
2025-08-05,0,low-volatility,0.9999999672770633,0.9999999672770633,0.0,3.272288699486213e-08,0.0
2025-08-06,0,low-volatility,0.9999999733696544,0.9999999733696544,0.0,2.6630342395573142e-08,0.0
2025-08-07,0,low-volatility,0.9999998625004404,0.9999998625004404,0.0,1.3749955642604115e-07,0.0
2025-08-08,0,low-volatility,0.9999998813147001,0.9999998813147001,0.0,1.1868524940769865e-07,0.0
2025-08-09,0,low-volatility,0.9999999256220945,0.9999999256220945,0.0,7.437785234956172e-08,0.0
2025-08-10,0,low-volatility,0.9999999001070187,0.9999999001070187,0.0,9.989297501498557e-08,0.0
2025-08-11,0,low-volatility,0.9999998225248576,0.9999998225248576,0.0,1.7747514452974228e-07,0.0
2025-08-12,0,low-volatility,0.9999994005506301,0.9999994005506301,0.0,5.99449425356426e-07,0.0
2025-08-13,0,low-volatility,0.9999995658931572,0.9999995658931572,0.0,4.3410684130334996e-07,0.0
2025-08-14,0,low-volatility,0.9999996603719986,0.9999996603719986,0.0,3.3962797179320017e-07,0.0
2025-08-15,0,low-volatility,0.9999996697624146,0.9999996697624146,0.0,3.30237552363185e-07,0.0
2025-08-16,0,low-volatility,0.9999996593772392,0.9999996593772392,0.0,3.406227327090349e-07,0.0
2025-08-17,0,low-volatility,0.9999996768929644,0.9999996768929644,0.0,3.2310705932396137e-07,0.0
2025-08-18,0,low-volatility,0.9999998512526074,0.9999998512526074,0.0,1.4874734719558207e-07,0.0
2025-08-19,0,low-volatility,0.9999999215887132,0.9999999215887132,0.0,7.841127038421135e-08,0.0
2025-08-20,0,low-volatility,0.9999999145644588,0.9999999145644588,0.0,8.543559077938505e-08,0.0
2025-08-21,0,low-volatility,0.9999998809120214,0.9999998809120214,0.0,1.1908796713477188e-07,0.0
2025-08-22,0,low-volatility,0.9999990549643971,0.9999990549643971,0.0,9.450355637984999e-07,0.0
2025-08-23,0,low-volatility,0.9999996083527861,0.9999996083527861,0.0,3.9164725226091016e-07,0.0
2025-08-24,0,low-volatility,0.9999996291616758,0.9999996291616758,0.0,3.7083831182076986e-07,0.0
2025-08-25,0,low-volatility,0.9999995766621382,0.9999995766621382,0.0,4.233378583011663e-07,0.0
2025-08-26,0,low-volatility,0.9999988671811074,0.9999988671811074,0.0,1.1328189232156016e-06,0.0
2025-08-27,0,low-volatility,0.9999968125018409,0.9999968125018409,0.0,3.18749817826984e-06,0.0
2025-08-28,0,low-volatility,0.9999973691250763,0.9999973691250763,0.0,2.6308749195564603e-06,0.0
2025-08-29,0,low-volatility,0.9999981540485108,0.9999981540485108,0.0,1.8459514698435633e-06,0.0
2025-08-30,0,low-volatility,0.9999990936864392,0.9999990936864392,0.0,9.063135296590997e-07,0.0
2025-08-31,0,low-volatility,0.9999914666869081,0.9999914666869081,0.0,8.53331306981567e-06,0.0
2025-09-01,0,low-volatility,0.9999992798358655,0.9999992798358655,0.0,7.201641391974501e-07,0.0
2025-09-02,0,low-volatility,0.9999997533590508,0.9999997533590508,0.0,2.4664094031872633e-07,0.0
2025-09-03,0,low-volatility,0.9999978227570919,0.9999978227570919,0.0,2.1772428578788755e-06,0.0
2025-09-04,0,low-volatility,0.9999999594949721,0.9999999594949721,0.0,4.050506904839768e-08,0.0
2025-09-05,0,low-volatility,0.9999999865216296,0.9999999865216296,0.0,1.3478361746239424e-08,0.0
