date,state,regime,confidence,prob_sideways,prob_high-volatility,prob_low-volatility
2025-05-13,1,sideways,0.999603804219826,0.00039619578008533824,0.0,2.6171589106192924e-25
2025-05-14,1,sideways,0.999999874890144,1.2508410859469368e-07,0.0,2.574782015497554e-11
2025-05-15,1,sideways,0.9999999063543371,9.364560858978205e-08,0.0,5.95875611845066e-14
2025-05-16,1,sideways,0.9999998595687983,9.044049449161948e-08,0.0,4.9990565002621935e-08
2025-05-17,1,sideways,0.9999999192170922,8.076889013537834e-08,0.0,1.3930435252732305e-11
2025-05-18,1,sideways,0.9999999279282318,7.206813843305666e-08,0.0,3.5151837315477655e-12
2025-05-19,1,sideways,0.9999999894193934,1.1363052206950702e-10,0.0,7.967218585151654e-09
2025-05-20,4,low-volatility,0.9996833986471634,8.791357005206484e-08,0.0,0.9996833986471634
2025-05-21,4,low-volatility,0.9997924627036449,1.1468924326413878e-10,0.0,0.9997924627036449
2025-05-22,4,low-volatility,0.9995047818799191,1.108153274218597e-12,0.0,0.9995047818799191
2025-05-23,4,low-volatility,0.9996880917311414,2.5039818111002842e-12,0.0,0.9996880917311414
2025-05-24,4,low-volatility,0.9998084527517753,1.1614808311316028e-12,0.0,0.9998084527517753
2025-05-25,4,low-volatility,0.9998666738260962,7.251296081451818e-13,0.0,0.9998666738260962
2025-05-26,4,low-volatility,0.9998888269491832,1.2161365107618768e-12,0.0,0.9998888269491832
2025-05-27,4,low-volatility,0.9998350964535824,4.704594777561345e-13,0.0,0.9998350964535824
2025-05-28,4,low-volatility,0.9998797421637182,1.5265872219678363e-12,0.0,0.9998797421637182
2025-05-29,4,low-volatility,0.999980422555119,6.542925455077967e-13,0.0,0.999980422555119
2025-05-30,4,low-volatility,0.9999843943309199,1.5522667664915405e-13,0.0,0.9999843943309199
2025-05-31,4,low-volatility,0.9999888115799598,1.1805172705443035e-13,0.0,0.9999888115799598
2025-06-01,4,low-volatility,0.9999832946931934,6.511945999222503e-15,0.0,0.9999832946931934
2025-06-02,4,low-volatility,0.9999984366409932,1.718897131728054e-16,0.0,0.9999984366409932
2025-06-03,4,low-volatility,0.999999937298073,1.3819636607601737e-19,0.0,0.999999937298073
2025-06-04,4,low-volatility,0.999999998818339,8.986681681564482e-20,0.0,0.999999998818339
2025-06-05,4,low-volatility,0.9999999869819476,2.6305108364032046e-20,0.0,0.9999999869819476
2025-06-06,4,low-volatility,0.9999998321629987,3.880974250833059e-19,0.0,0.9999998321629987
2025-06-07,4,low-volatility,0.9999995290035003,1.5648902890906063e-15,0.0,0.9999995290035003
2025-06-08,4,low-volatility,0.9999238159363824,2.2690001886657437e-18,0.0,0.9999238159363824
2025-06-09,4,low-volatility,0.9999615041888038,1.6703318321997886e-25,0.0,0.9999615041888038
2025-06-10,4,low-volatility,0.9999606271387765,3.834200290475685e-40,0.0,0.9999606271387765
2025-06-11,4,low-volatility,0.9999999820763606,6.026263842113737e-40,0.0,0.9999999820763606
2025-06-12,4,low-volatility,0.9999999926935743,6.707248384787374e-43,0.0,0.9999999926935743
2025-06-13,4,low-volatility,0.9999999911351551,1.587168369139027e-43,0.0,0.9999999911351551
2025-06-14,4,low-volatility,0.9999999925055363,4.3526248754561176e-44,0.0,0.9999999925055363
2025-06-15,4,low-volatility,0.9999999960234618,8.093021347267733e-46,0.0,0.9999999960234618
2025-06-16,4,low-volatility,0.9999999988435775,5.5014000869660315e-46,0.0,0.9999999988435775
2025-06-17,4,low-volatility,0.9999999973499598,7.995717695245829e-44,0.0,0.9999999973499598
2025-06-18,4,low-volatility,0.9999999855895112,4.5993205931023915e-46,0.0,0.9999999855895112
2025-06-19,4,low-volatility,0.9999999969409146,1.2019309954308028e-40,0.0,0.9999999969409146
2025-06-20,4,low-volatility,0.99999999788065,1.7321681024202255e-35,0.0,0.99999999788065
2025-06-21,4,low-volatility,0.9999999999686224,5.931388008822682e-30,0.0,0.9999999999686224
2025-06-22,4,low-volatility,0.9999999999997726,1.4091081672602674e-29,0.0,0.9999999999997726
2025-06-23,4,low-volatility,0.9999999999997726,1.1690728343164074e-28,0.0,0.9999999999997726
2025-06-24,4,low-volatility,0.9999999999861302,3.0076941841814046e-25,0.0,0.9999999999861302
2025-06-25,4,low-volatility,0.9999999737958664,8.596650745277381e-25,0.0,0.9999999737958664
