date,state,regime,confidence,prob_sideways,prob_bull,prob_high-volatility,prob_low-volatility
2025-05-19,4,low-volatility,0.9880797484199358,3.677711734741024e-145,6.778776274856487e-08,0.0,0.9880797484199358
2025-05-20,4,low-volatility,0.9999742158904565,2.0722156035786862e-169,9.137117362788896e-12,0.0,0.9999742158904565
2025-05-21,4,low-volatility,0.9998513491111279,7.919111249564787e-180,3.4450944955468507e-15,0.0,0.9998513491111279
2025-05-22,4,low-volatility,0.9999848565890469,1.2242332959631292e-170,4.622054235258498e-14,0.0,0.9999848565890469
2025-05-23,4,low-volatility,0.9999944076243478,9.799690704975666e-194,5.135250960854937e-15,0.0,0.9999944076243478
2025-05-24,4,low-volatility,0.9998835683024985,1.56350090913607e-203,1.1795922887163297e-14,0.0,0.9998835683024985
2025-05-25,4,low-volatility,0.9999161513422476,7.122105776517453e-194,7.072536835574292e-13,0.0,0.9999161513422476
2025-05-26,4,low-volatility,0.9999578149955678,5.709611465304289e-181,2.315550405653325e-13,0.0,0.9999578149955678
2025-05-27,4,low-volatility,0.9961437401521643,4.79213355342346e-150,1.7278332221504526e-09,0.0,0.9961437401521643
2025-05-28,4,low-volatility,0.8071373758678824,3.6836341070301495e-138,7.1304214892928e-08,0.0,0.8071373758678824
2025-05-29,0,sideways,0.9932632262165993,4.123905637791003e-131,3.6169728632942685e-07,0.0,0.006736412086094537
2025-05-30,0,sideways,0.9999992542510024,2.8911993773341007e-123,7.398439327686403e-07,0.0,5.905067655564115e-09
2025-05-31,0,sideways,0.9999997567372544,6.140163049376843e-80,2.4326265871353767e-07,0.0,1.0924209517895226e-50
2025-06-01,0,sideways,0.9237753899051517,2.8656910619708436e-43,0.07622461009482835,0.0,3.913185015749402e-18
2025-06-02,1,bull,0.7750653405298814,3.4532739363564016e-82,0.7750653405298814,0.0,2.3946116325297468e-24
2025-06-03,1,bull,0.9994259531013596,3.1506170762415447e-111,0.9994259531013596,0.0,1.3731459243614785e-54
2025-06-04,1,bull,0.9999982394587769,1.3026630823159626e-139,0.9999982394587769,0.0,2.492190174403217e-87
2025-06-05,1,bull,0.9999999005162913,2.8431472712312006e-165,0.9999999005162913,0.0,1.2183680545085764e-120
2025-06-06,1,bull,0.9999999927817953,1.3580088091358674e-186,0.9999999927817953,0.0,1.4964704938885753e-150
