date,state,regime,confidence,prob_bull,prob_high-volatility,prob_bear,prob_low-volatility
2025-03-02,3,low-volatility,1.0,1.1319035845870216e-52,2.8049517752297356e-38,1.478177419666918e-126,1.0
2025-03-03,3,low-volatility,0.9999999984138412,2.442100251026276e-10,1.341996291290511e-09,7.221843239953255e-62,0.9999999984138412
2025-03-04,3,low-volatility,0.9999999985507202,1.5136083596798739e-10,1.2979655990813477e-09,2.2796769449205993e-33,0.9999999985507202
2025-03-05,3,low-volatility,0.9999999973128979,6.487284598242122e-11,2.622328483725928e-09,3.0508706022402228e-33,0.9999999973128979
2025-03-06,3,low-volatility,0.9999999976812433,5.319858693145699e-11,2.2655018603130652e-09,3.018174552515607e-33,0.9999999976812433
2025-03-07,3,low-volatility,0.9999999979131644,4.7357319975985e-11,2.039409156371443e-09,2.3493124457451245e-33,0.9999999979131644
2025-03-08,3,low-volatility,0.999999997228997,6.788737127076893e-11,2.7031857968049536e-09,3.743957040481488e-33,0.999999997228997
2025-03-09,3,low-volatility,0.9999999976939762,5.2848262518472086e-11,2.253252619385989e-09,2.6427473417294056e-33,0.9999999976939762
2025-03-10,3,low-volatility,0.99999999860961,1.0730669179546105e-10,1.2830654370791994e-09,1.4700734682947676e-33,0.99999999860961
2025-03-11,3,low-volatility,0.9999999984015631,4.222166542510952e-11,1.5562625933270668e-09,7.489059206742082e-34,0.9999999984015631
2025-03-12,3,low-volatility,0.9999999986328021,7.769671435138546e-11,1.2895457220799179e-09,9.368457069397446e-34,0.9999999986328021
2025-03-13,3,low-volatility,0.9999999979713721,4.6121549184147614e-11,1.982562255560435e-09,1.2298024334334885e-33,0.9999999979713721
2025-03-14,3,low-volatility,0.9999999980261691,4.505320327645571e-11,1.9286855671466696e-09,1.5398461854116511e-33,0.9999999980261691
2025-03-15,3,low-volatility,0.9999999980645953,4.437069858145819e-11,1.8909306764715605e-09,1.639705465631684e-33,0.9999999980645953
2025-03-16,3,low-volatility,0.9999999974363618,6.06682726915824e-11,2.503061991588665e-09,2.649906379090699e-33,0.9999999974363618
2025-03-17,3,low-volatility,0.9999999980752818,4.419367092672222e-11,1.8805659737442433e-09,1.6364576761980106e-33,0.9999999980752818
2025-03-18,3,low-volatility,0.999999998624844,9.236821699864659e-11,1.2828889352523567e-09,1.27795086147459e-33,0.999999998624844
2025-03-19,3,low-volatility,0.9999999977994776,5.005483715407586e-11,2.1504512881239307e-09,1.3270118436885183e-33,0.9999999977994776
2025-03-20,3,low-volatility,0.999999998626663,6.606100395332071e-11,1.3073369568986206e-09,7.04318109600152e-31,0.999999998626663
2025-03-21,3,low-volatility,0.9999972056662434,2.1710019703270912e-17,2.7943337502398936e-06,3.5369123640496614e-24,0.9999972056662434
2025-03-22,1,high-volatility,0.9999999999799911,2.0001800167006173e-11,0.9999999999799911,5.642727696752673e-18,1.0424814407004973e-24
2025-03-23,1,high-volatility,0.9999999972017122,7.772972945899783e-14,0.9999999972017122,2.7981860136482276e-09,8.052827689888745e-99
2025-03-24,1,high-volatility,0.9999999878198196,7.135644465445797e-16,0.9999999878198196,1.2180119521236807e-08,3.5660757577316462e-62
2025-03-25,1,high-volatility,0.9999999574245075,5.887966294109529e-17,0.9999999574245075,4.257539979243016e-08,2.711285390586898e-68
2025-03-26,1,high-volatility,0.9999991133817567,7.537630017015879e-17,0.9999991133817567,8.866182133996545e-07,2.3264456734908722e-57
2025-03-27,1,high-volatility,0.9999997433460851,1.2299309240093815e-15,0.9999997433460851,2.566538349165498e-07,1.990520758279968e-62
2025-03-28,1,high-volatility,0.9999990131746339,6.2313229678598716e-15,0.9999990131746339,9.868253914934788e-07,1.4530133047918219e-71
2025-03-29,1,high-volatility,0.9999890068103819,2.157596385375452e-15,0.9999890068103819,1.099318962117105e-05,8.190926439969524e-34
2025-03-30,1,high-volatility,0.9999972345060127,2.749752637531892e-15,0.9999972345060127,2.7654939005836967e-06,1.1024122007938758e-45
2025-03-31,1,high-volatility,0.9999996431593626,1.446057405266069e-15,0.9999996431593626,3.5684066980284684e-07,4.171797513396258e-59
2025-04-01,1,high-volatility,0.9999993615931309,4.713532600503088e-15,0.9999993615931309,6.384067770779742e-07,2.598911902372248e-61
2025-04-02,1,high-volatility,0.9999925878773442,4.796531109204071e-17,0.9999925878773442,7.412122671920395e-06,3.4544962453700204e-52
2025-04-03,1,high-volatility,0.9999999848964763,3.599012578696041e-13,0.9999999848964763,1.5103235902020373e-08,1.536628948141171e-69
2025-04-04,1,high-volatility,0.9998660009313517,2.0660428300323273e-15,0.9998660009313517,0.00013398024990709175,1.8818683550385935e-08
2025-04-05,1,high-volatility,0.999809195549817,2.8764609075974304e-11,0.999809195549817,0.00019080418317072773,2.381806345769381e-10
2025-04-06,1,high-volatility,0.9995349504314799,8.784294845176857e-11,0.9995349504314799,0.0004650482699432938,1.2106639540963953e-09
2025-04-07,1,high-volatility,0.9984992603451228,1.0763367356603328e-11,0.9984992603451228,0.001500616363081459,1.2328109923540395e-07
2025-04-08,1,high-volatility,0.9999018214357056,2.36947820765799e-07,0.9999018214357056,9.794161558085548e-05,9.257309751834248e-13
2025-04-09,3,low-volatility,0.9999020467650203,9.795286458329802e-05,2.606911670418676e-15,3.7047181569284336e-10,0.9999020467650203
2025-04-10,0,bull,1.0,1.0,7.000250665799865e-23,5.994100152649802e-34,1.0001291795527132e-45
2025-04-11,0,bull,1.0,1.0,2.273898701358692e-33,1.0357041267625696e-39,9.948609513002273e-112
2025-04-12,0,bull,1.0,1.0,4.919152974033722e-36,1.6691439098530227e-36,1.3842618486264934e-127
2025-04-13,0,bull,1.0,1.0,9.168234737165424e-37,5.0032097352367514e-39,7.112603145277619e-118
2025-04-14,0,bull,1.0,1.0,2.4926788988670296e-38,2.420177245717662e-43,7.073709168898905e-136
2025-04-15,0,bull,1.0,1.0,3.126496581882968e-38,1.1178791362814675e-47,1.561892319144463e-119
2025-04-16,0,bull,1.0,1.0,6.286022060197737e-39,1.9806727863944821e-47,5.667108097733525e-128
2025-04-17,0,bull,1.0,1.0,4.1784355475461163e-36,6.502602971583642e-36,7.670240845652661e-68
2025-04-18,0,bull,1.0,1.0,2.540874196462551e-36,2.010722666854558e-38,3.580750452610152e-61
2025-04-19,0,bull,1.0,1.0,2.2573803819000737e-36,3.465016628836865e-39,1.3441366132584136e-57
2025-04-20,0,bull,1.0,1.0,1.1957681496581761e-39,7.306845798921244e-22,2.3379753932927793e-243
2025-04-21,0,bull,1.0,1.0,3.416865425752072e-37,6.478196577246715e-15,4.9068e-319
2025-04-22,0,bull,0.9999999999993179,0.9999999999993179,1.8473291736067248e-36,6.976554673955732e-13,1.312134275222351e-181
2025-04-23,0,bull,1.0,1.0,1.6562757041073483e-35,6.269884884665974e-14,5.179457720305467e-130
2025-04-24,0,bull,0.9999999999993179,0.9999999999993179,1.4215790645899934e-32,6.338912330065926e-13,2.3568247084144667e-134
2025-04-25,0,bull,0.9999999999997726,0.9999999999997726,3.827644688061435e-33,2.89074870548398e-13,4.2109988596180456e-75
2025-04-26,0,bull,1.0,1.0,1.6917085844177494e-32,6.948057015823926e-14,7.241329558266014e-66
2025-04-27,0,bull,1.0,1.0,9.697499877975012e-30,5.2001580199579656e-15,2.1869445170179322e-60
