date,state,regime,confidence,prob_bull,prob_high-volatility,prob_low-volatility,prob_bear
2025-03-31,0,bull,0.9999996239381087,0.9999996239381087,6.440602350477799e-94,3.7606181479774665e-07,0.0
2025-04-01,0,bull,0.9999994811747892,0.9999994811747892,1.3647896932791254e-89,5.188251500432123e-07,0.0
2025-04-02,0,bull,0.99999827365208,0.99999827365208,3.2964091461624245e-86,1.7263478539348984e-06,0.0
2025-04-03,0,bull,0.9999992042984086,0.9999992042984086,1.5191963441147644e-90,7.957015692570552e-07,0.0
2025-04-04,0,bull,0.9999996575555219,0.9999996575555219,1.319605779855153e-92,3.4244456527422044e-07,0.0
2025-04-05,0,bull,0.9999990912176181,0.9999990912176181,1.366104940674868e-86,9.087823685834174e-07,0.0
2025-04-06,0,bull,0.9991417569677504,0.9991417569677504,2.3155088772085415e-89,0.0008582430321516387,0.0
2025-04-07,2,low-volatility,0.9902437976289246,0.009756202371038572,2.1328325833913654e-35,0.9902437976289246,0.0
2025-04-08,1,high-volatility,0.9884990004700686,5.616041862646023e-08,0.9884990004700686,0.011500943369449936,0.0
2025-04-09,1,high-volatility,0.9999989814726362,1.8661701183448192e-14,0.9999989814726362,1.018527292645495e-06,0.0
2025-04-10,1,high-volatility,0.9999983516352074,8.874746092758452e-18,0.9999983516352074,1.6483646831863274e-06,0.0
2025-04-11,1,high-volatility,0.9999769893550771,5.542667407606287e-26,0.9999769893550771,2.301064485241715e-05,0.0
2025-04-12,1,high-volatility,0.9999996287552456,3.339430969072956e-28,0.9999996287552456,3.7124478301013313e-07,0.0
2025-04-13,1,high-volatility,0.9999998604714717,4.543366626146953e-29,0.9999998604714717,1.3952864092074786e-07,0.0
2025-04-14,1,high-volatility,0.9999999148817588,8.642379704037113e-30,0.9999999148817588,8.511833708753714e-08,0.0
2025-04-15,1,high-volatility,0.9999999464575936,7.397652035019497e-31,0.9999999464575936,5.3542365965934004e-08,0.0
2025-04-16,1,high-volatility,0.9999999625658809,4.0027283639121994e-32,0.9999999625658809,3.7434200591302776e-08,0.0
2025-04-17,1,high-volatility,0.999999979861059,4.895308589699665e-32,0.999999979861059,2.013895912744806e-08,0.0
2025-04-18,1,high-volatility,0.9999999432523071,7.573575731073969e-33,0.9999999432523071,5.67477520892913e-08,0.0
2025-04-19,1,high-volatility,0.9999999479177872,1.5345639059910359e-33,0.9999999479177872,5.208211528812073e-08,0.0
2025-04-20,1,high-volatility,0.9999999984224814,1.5240635880141092e-42,0.9999999984224814,1.5775295035047319e-09,0.0
2025-04-21,1,high-volatility,0.9999999989681783,3.5808103545628183e-44,0.9999999989681783,1.0317933983981435e-09,0.0
2025-04-22,1,high-volatility,0.9999999984283932,4.680465033102897e-43,0.9999999984283932,1.5714960839108383e-09,0.0
