date,bullish_prob,bearish_prob,net_prob,mean_drift
2025-03-02,0.14285714285714285,0.8571428571428571,-0.7142857142857142,-0.7451005291005253
2025-03-03,0.14285714285714285,0.8571428571428571,-0.7142857142857142,-0.7138201058201075
2025-03-04,0.14285714285714285,0.8571428571428571,-0.7142857142857142,-0.7796481481481475
2025-03-05,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-0.649306878306879
2025-03-06,0.14285714285714285,0.8571428571428571,-0.7142857142857142,-0.6373544973545006
2025-03-07,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-0.4511269841269926
2025-03-08,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.44138095238095126
2025-03-09,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.6892857142857154
2025-03-10,0.42857142857142855,0.5714285714285714,-0.14285714285714285,-0.2926746031746028
2025-03-11,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.43002645502645415
2025-03-12,0.47619047619047616,0.5238095238095238,-0.04761904761904767,-0.12585449735449775
2025-03-13,0.47619047619047616,0.5238095238095238,-0.04761904761904767,-0.08068253968254371
2025-03-14,0.5238095238095238,0.47619047619047616,0.04761904761904767,0.07447619047619691
2025-03-15,0.42857142857142855,0.5714285714285714,-0.14285714285714285,-0.16257142857142798
2025-03-16,0.47619047619047616,0.5238095238095238,-0.04761904761904767,-0.2193571428571434
2025-03-17,0.5714285714285714,0.42857142857142855,0.14285714285714285,-0.15024603174603748
2025-03-18,0.5238095238095238,0.47619047619047616,0.04761904761904767,-0.09877777777777483
2025-03-19,0.42857142857142855,0.5714285714285714,-0.14285714285714285,-0.37064285714284917
2025-03-20,0.47619047619047616,0.5238095238095238,-0.04761904761904767,-0.15910317460317933
2025-03-21,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.42353968253968877
2025-03-22,0.5238095238095238,0.47619047619047616,0.04761904761904767,-0.1815317460317428
2025-03-23,0.5238095238095238,0.47619047619047616,0.04761904761904767,-0.18498148148148902
2025-03-24,0.42857142857142855,0.5714285714285714,-0.14285714285714285,-0.3323068783068718
2025-03-25,0.47619047619047616,0.5238095238095238,-0.04761904761904767,-0.30315343915343834
2025-03-26,0.42857142857142855,0.5714285714285714,-0.14285714285714285,-0.32751587301587615
2025-03-27,0.42857142857142855,0.5714285714285714,-0.14285714285714285,-0.11895238095237778
2025-03-28,0.47619047619047616,0.5238095238095238,-0.04761904761904767,-0.04713945578231595
2025-03-29,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-0.04354761904762735
2025-03-30,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.37384126984127064
2025-03-31,0.19047619047619047,0.8095238095238095,-0.6190476190476191,-0.5229047619047603
2025-04-01,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-0.5570952380952373
2025-04-02,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-0.525587301587301
2025-04-03,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.42294179894179795
2025-04-04,0.19047619047619047,0.8095238095238095,-0.6190476190476191,-0.7508095238095249
2025-04-05,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.9037619047618973
2025-04-06,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.44932818532818225
2025-04-07,0.19047619047619047,0.8095238095238095,-0.6190476190476191,-0.46885971685971467
2025-04-08,0.14285714285714285,0.8571428571428571,-0.7142857142857142,-0.8527724152724099
2025-04-09,0.19047619047619047,0.8095238095238095,-0.6190476190476191,-0.7233095238095243
2025-04-10,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-0.6754444444444422
2025-04-11,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.5781269841269792
2025-04-12,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.6390476190476212
2025-04-13,0.14285714285714285,0.8571428571428571,-0.7142857142857142,-0.6490158730158677
2025-04-14,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-0.5042301587301516
2025-04-15,0.38095238095238093,0.6190476190476191,-0.23809523809523814,-0.218753968253965
2025-04-16,0.09523809523809523,0.9047619047619048,-0.8095238095238095,-0.6689047619047631
2025-04-17,0.09523809523809523,0.9047619047619048,-0.8095238095238095,-0.7901428571428526
2025-04-18,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.5235952380952418
2025-04-19,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.7001825396825344
2025-04-20,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.8537007527007487
2025-04-21,0.38095238095238093,0.6190476190476191,-0.23809523809523814,-0.5823809523809506
2025-04-22,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.8005714285714237
2025-04-23,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.725244530244534
2025-04-24,0.19047619047619047,0.8095238095238095,-0.6190476190476191,-0.5629274376417254
2025-04-25,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-0.653079365079362
2025-04-26,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.7340385487528419
2025-04-27,0.23809523809523808,0.7619047619047619,-0.5238095238095237,-0.44452380952380177
2025-04-28,0.38095238095238093,0.6190476190476191,-0.23809523809523814,-0.15630612244898348
2025-04-29,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-0.4635442176870705
2025-04-30,0.38095238095238093,0.6190476190476191,-0.23809523809523814,-0.16829251700680525
2025-05-01,0.5238095238095238,0.47619047619047616,0.04761904761904767,-0.22715419501133333
