lookback_window,quantile_set,aggregator,scoring_focus,avg_dir_accuracy,avg_mape,pred_accuracy,n_horizons
60,moderate,median,Profit_Heavy,0.725,2.1345939802515583,97.86540601974845,3
60,conservative,mean,Accuracy_Heavy,0.7208333333333333,2.1179611834477687,97.88203881655222,3
60,moderate,mean,Balanced,0.7208333333333333,2.128693223025793,97.87130677697421,3
60,aggressive,mean,Accuracy_Heavy,0.7208333333333333,2.1480914198545804,97.85190858014542,3
60,conservative,median,Profit_Heavy,0.7166666666666668,2.1368625417680778,97.86313745823192,3
60,aggressive,median,Accuracy_Heavy,0.7166666666666668,2.1379690882629565,97.86203091173704,3
60,moderate,median,Balanced,0.7166666666666667,2.1203724167313927,97.8796275832686,3
30,conservative,median,Profit_Heavy,0.7125,2.411189276619684,97.58881072338032,3
60,conservative,mean,Balanced,0.7125,2.107823181345223,97.89217681865478,3
30,conservative,median,Accuracy_Heavy,0.7124999999999999,2.3596054633566124,97.64039453664338,3
60,moderate,median,Accuracy_Heavy,0.7083333333333334,2.113162328152275,97.88683767184773,3
60,moderate,mean,Accuracy_Heavy,0.7083333333333334,2.111123758950986,97.88887624104902,3
30,aggressive,mean,Accuracy_Heavy,0.7083333333333334,2.4586339535689947,97.54136604643101,3
30,conservative,mean,Accuracy_Heavy,0.7041666666666667,2.3837612070455214,97.61623879295448,3
30,conservative,median,Balanced,0.7041666666666666,2.3482134649114488,97.65178653508855,3
30,conservative,mean,Profit_Heavy,0.7041666666666666,2.4322949839174335,97.56770501608257,3
30,conservative,mean,Balanced,0.7041666666666666,2.3845051469572836,97.61549485304272,3
30,moderate,median,Balanced,0.7041666666666666,2.4090192636481107,97.5909807363519,3
30,aggressive,median,Balanced,0.7041666666666666,2.47080256132971,97.5291974386703,3
30,aggressive,median,Accuracy_Heavy,0.7041666666666666,2.4487559596924178,97.55124404030758,3
60,conservative,mean,Profit_Heavy,0.7000000000000001,2.1482820892517203,97.85171791074828,3
30,aggressive,median,Profit_Heavy,0.6999999999999998,2.5007934992178407,97.49920650078217,3
60,conservative,median,Accuracy_Heavy,0.6999999999999998,2.104036114447452,97.89596388555255,3
30,moderate,mean,Balanced,0.6958333333333334,2.4302231200650515,97.56977687993495,3
30,moderate,mean,Accuracy_Heavy,0.6958333333333334,2.4025490411701402,97.59745095882985,3
60,moderate,mean,Profit_Heavy,0.6958333333333333,2.159932057931698,97.8400679420683,3
60,aggressive,median,Balanced,0.6958333333333333,2.1613262910820925,97.83867370891791,3
30,moderate,median,Profit_Heavy,0.6958333333333333,2.461990600167447,97.53800939983255,3
30,aggressive,mean,Balanced,0.6916666666666668,2.4929528144154833,97.50704718558451,3
30,moderate,median,Accuracy_Heavy,0.6916666666666668,2.388614047658143,97.61138595234186,3
90,moderate,median,Accuracy_Heavy,0.6916666666666668,2.2617924027713943,97.73820759722861,3
60,conservative,median,Balanced,0.6916666666666668,2.105210371282357,97.89478962871765,3
30,aggressive,mean,Profit_Heavy,0.6916666666666668,2.5254021557578605,97.47459784424214,3
60,aggressive,mean,Balanced,0.6916666666666668,2.1763465498090824,97.82365345019092,3
90,moderate,mean,Balanced,0.6916666666666668,2.2780717110799102,97.72192828892008,3
90,moderate,median,Balanced,0.6916666666666668,2.2594704436931905,97.74052955630681,3
90,conservative,mean,Accuracy_Heavy,0.6916666666666668,2.246950695440186,97.75304930455981,3
90,moderate,median,Profit_Heavy,0.6875,2.2856410614939464,97.71435893850605,3
60,aggressive,mean,Profit_Heavy,0.6875,2.19370238414997,97.80629761585003,3
90,moderate,mean,Accuracy_Heavy,0.6875,2.277708783404782,97.72229121659522,3
30,moderate,mean,Profit_Heavy,0.6833333333333332,2.4848930889278864,97.51510691107211,3
60,aggressive,median,Profit_Heavy,0.6833333333333332,2.1736978580098714,97.82630214199013,3
90,aggressive,mean,Accuracy_Heavy,0.6833333333333332,2.301252151188692,97.69874784881131,3
90,moderate,mean,Profit_Heavy,0.6749999999999999,2.29974787373493,97.70025212626507,3
90,conservative,mean,Profit_Heavy,0.6708333333333334,2.2961537018167615,97.70384629818324,3
90,conservative,mean,Balanced,0.6708333333333334,2.267888936754264,97.73211106324574,3
90,conservative,median,Balanced,0.6708333333333333,2.2520349788416287,97.74796502115836,3
90,aggressive,median,Profit_Heavy,0.6666666666666666,2.322172653033375,97.67782734696662,3
90,aggressive,median,Accuracy_Heavy,0.6666666666666666,2.292312247976644,97.70768775202336,3
90,conservative,median,Accuracy_Heavy,0.6625,2.2500879020545947,97.74991209794541,3
90,conservative,median,Profit_Heavy,0.6625,2.3052586098495578,97.69474139015044,3
90,aggressive,mean,Profit_Heavy,0.6583333333333333,2.336988944052091,97.6630110559479,3
90,aggressive,median,Balanced,0.6583333333333333,2.3028407102616857,97.69715928973831,3
90,aggressive,mean,Balanced,0.6541666666666667,2.3188913705007206,97.68110862949928,3
