horizons,n_horizons,threshold,train_n_trades,train_return,train_sharpe,train_max_dd,train_win_rate,train_composite,oos_n_trades,oos_return,oos_sharpe,oos_max_dd,oos_win_rate,oos_profit_factor,oos_expectancy,oos_avg_da,oos_composite_score,signal_dist
"[5, 6, 7, 8, 10]",5,0.1,15,6.53811686586494,1.1299765831889363,-9.565543164480053,46.666666666666664,0.2669339113512486,10,12.178837412029853,5.546888096648788,-2.8807277628032386,80.0,5.077379752142523,1.1745821051488743,65.21739130434783,0.7009783775007699,"{'BULLISH': np.int64(24), 'BEARISH': np.int64(57), 'NEUTRAL': np.int64(9)}"
"[5, 6, 7, 8, 10]",5,0.15,15,6.53811686586494,1.1299765831889363,-9.565543164480053,46.666666666666664,0.2669339113512486,10,12.178837412029853,5.546888096648788,-2.8807277628032386,80.0,5.077379752142523,1.1745821051488743,65.21739130434783,0.7009783775007699,"{'BULLISH': np.int64(24), 'BEARISH': np.int64(57), 'NEUTRAL': np.int64(9)}"
"[1, 2, 3]",3,0.1,39,3.053776372740624,0.48308585383710506,-11.413276200644942,46.15384615384615,0.18643151999980423,11,18.889268009064473,9.330865413088087,-0.6427604871448017,63.63636363636363,26.99594531855973,1.598666895497855,68.96551724137932,0.6299190271762914,"{'BULLISH': np.int64(27), 'BEARISH': np.int64(63), 'NEUTRAL': np.int64(0)}"
"[1, 2, 3]",3,0.15,39,3.053776372740624,0.48308585383710506,-11.413276200644942,46.15384615384615,0.18643151999980423,11,18.889268009064473,9.330865413088087,-0.6427604871448017,63.63636363636363,26.99594531855973,1.598666895497855,68.96551724137932,0.6299190271762914,"{'BULLISH': np.int64(27), 'BEARISH': np.int64(63), 'NEUTRAL': np.int64(0)}"
"[1, 2, 3]",3,0.2,39,3.053776372740624,0.48308585383710506,-11.413276200644942,46.15384615384615,0.18643151999980423,11,18.889268009064473,9.330865413088087,-0.6427604871448017,63.63636363636363,26.99594531855973,1.598666895497855,68.96551724137932,0.6299190271762914,"{'BULLISH': np.int64(27), 'BEARISH': np.int64(63), 'NEUTRAL': np.int64(0)}"
"[1, 2, 3]",3,0.25,39,3.053776372740624,0.48308585383710506,-11.413276200644942,46.15384615384615,0.18643151999980423,11,18.889268009064473,9.330865413088087,-0.6427604871448017,63.63636363636363,26.99594531855973,1.598666895497855,68.96551724137932,0.6299190271762914,"{'BULLISH': np.int64(27), 'BEARISH': np.int64(63), 'NEUTRAL': np.int64(0)}"
"[1, 2, 3]",3,0.3,39,3.053776372740624,0.48308585383710506,-11.413276200644942,46.15384615384615,0.18643151999980423,11,18.889268009064473,9.330865413088087,-0.6427604871448017,63.63636363636363,26.99594531855973,1.598666895497855,68.96551724137932,0.6299190271762914,"{'BULLISH': np.int64(27), 'BEARISH': np.int64(63), 'NEUTRAL': np.int64(0)}"
"[5, 6, 8]",3,0.1,19,-9.925074309288773,-1.2541534728005235,-15.793755899593204,36.84210526315789,-0.09423449771411216,11,8.229522659033695,3.4600870056985165,-3.209521014424358,54.54545454545454,3.278512443339417,0.7424480371801131,51.724137931034484,0.5138401825337099,"{'BULLISH': np.int64(35), 'BEARISH': np.int64(55), 'NEUTRAL': np.int64(0)}"
"[5, 6, 8]",3,0.15,19,-9.925074309288773,-1.2541534728005235,-15.793755899593204,36.84210526315789,-0.09423449771411216,11,8.229522659033695,3.4600870056985165,-3.209521014424358,54.54545454545454,3.278512443339417,0.7424480371801131,51.724137931034484,0.5138401825337099,"{'BULLISH': np.int64(35), 'BEARISH': np.int64(55), 'NEUTRAL': np.int64(0)}"
"[5, 6, 8]",3,0.2,19,-9.925074309288773,-1.2541534728005235,-15.793755899593204,36.84210526315789,-0.09423449771411216,11,8.229522659033695,3.4600870056985165,-3.209521014424358,54.54545454545454,3.278512443339417,0.7424480371801131,51.724137931034484,0.5138401825337099,"{'BULLISH': np.int64(35), 'BEARISH': np.int64(55), 'NEUTRAL': np.int64(0)}"
"[5, 6, 8]",3,0.25,19,-9.925074309288773,-1.2541534728005235,-15.793755899593204,36.84210526315789,-0.09423449771411216,11,8.229522659033695,3.4600870056985165,-3.209521014424358,54.54545454545454,3.278512443339417,0.7424480371801131,51.724137931034484,0.5138401825337099,"{'BULLISH': np.int64(35), 'BEARISH': np.int64(55), 'NEUTRAL': np.int64(0)}"
"[5, 6, 8]",3,0.3,19,-9.925074309288773,-1.2541534728005235,-15.793755899593204,36.84210526315789,-0.09423449771411216,11,8.229522659033695,3.4600870056985165,-3.209521014424358,54.54545454545454,3.278512443339417,0.7424480371801131,51.724137931034484,0.5138401825337099,"{'BULLISH': np.int64(35), 'BEARISH': np.int64(55), 'NEUTRAL': np.int64(0)}"
"[5, 7, 8]",3,0.1,19,-9.925074309288773,-1.2541534728005235,-15.793755899593204,36.84210526315789,-0.09423449771411216,11,8.229522659033695,3.4600870056985165,-3.209521014424358,54.54545454545454,3.278512443339417,0.7424480371801131,51.724137931034484,0.5138401825337099,"{'BULLISH': np.int64(35), 'BEARISH': np.int64(55), 'NEUTRAL': np.int64(0)}"
"[5, 7, 8]",3,0.15,19,-9.925074309288773,-1.2541534728005235,-15.793755899593204,36.84210526315789,-0.09423449771411216,11,8.229522659033695,3.4600870056985165,-3.209521014424358,54.54545454545454,3.278512443339417,0.7424480371801131,51.724137931034484,0.5138401825337099,"{'BULLISH': np.int64(35), 'BEARISH': np.int64(55), 'NEUTRAL': np.int64(0)}"
