method,mse,directional_accuracy,sharpe,total_return,n_models_used,params
accuracy,25516402.114151865,54.166666666666664,0.6387850391623933,9.776345952472179,1,default
decay,25525758.02581232,54.166666666666664,0.6387850391623933,9.776345952472179,15,{'decay': 0.95}
decay,25521989.404901616,54.166666666666664,0.6387850391623933,9.776345952472179,1,{'decay': 0.99}
topk,24160756.530603968,54.166666666666664,0.7057193655469677,10.798806735522989,57,{'top_pct': 0.05}
topk,24438056.941069316,54.166666666666664,0.7057193655469677,10.798806735522989,115,{'top_pct': 0.1}
topk,24779065.06524184,55.00000000000001,0.7125424835587296,10.903002242625186,230,{'top_pct': 0.2}
ridge,24560238.974529535,55.00000000000001,0.7125424835587296,10.903002242625186,370,{'alpha': 0.1}
ridge,24560238.973539144,55.00000000000001,0.7125424835587296,10.903002242625186,370,{'alpha': 1.0}
ridge,24560238.96363434,55.00000000000001,0.7125424835587296,10.903002242625186,370,{'alpha': 10.0}
inverse_var,25388247.153706107,54.166666666666664,0.6387850391623933,9.776345952472179,67,default
