time,regime_id,regime,volatility,momentum,price_position
2022-04-06,2,SIDEWAYS,0.1442861848728423,0.03727045200976997,0.673695893449228
2022-04-07,2,SIDEWAYS,0.1428677697369205,0.04375983537102046,0.7073621901564656
2022-04-08,0,BULL,0.13875038718944024,0.05485630695151311,0.7528671846069077
2022-04-11,2,SIDEWAYS,0.14747294071913397,0.04205493635422375,0.607103218643703
2022-04-12,2,SIDEWAYS,0.13586760426360436,0.021300146588087543,0.429285357319194
2022-04-13,2,SIDEWAYS,0.12913866249100295,0.015550450609648436,0.4746877054538154
2022-04-14,2,SIDEWAYS,0.12301591893135971,-5.8207217695005475e-05,0.2783424550408261
2022-04-18,2,SIDEWAYS,0.11944827522680865,-0.0092397424421794,0.24315871774633968
2022-04-19,2,SIDEWAYS,0.1299831379747677,0.011760947845278258,0.6559812353349807
2022-04-20,2,SIDEWAYS,0.12922612789748544,0.01066005935060077,0.8420641125813756
2022-04-21,2,SIDEWAYS,0.12568685859655576,0.013401459854014641,0.5010630758291916
2022-04-22,2,SIDEWAYS,0.15804668265180502,-0.025314992486417776,0.07366684991713213
2022-04-25,2,SIDEWAYS,0.1595181138764619,-0.0228430046894329,0.3366926248266757
2022-04-26,2,SIDEWAYS,0.17801660401374012,-0.0485754454422862,0.03387650085748767
2022-04-27,1,BEAR,0.17312240417605348,-0.05581131003125883,0.08798999165934951
2022-04-28,2,SIDEWAYS,0.18828244081487638,-0.03670586895235928,0.3390325271045078
2022-04-29,1,BEAR,0.2063390920045488,-0.05014732220232254,0.02391052834545349
2022-05-02,1,BEAR,0.2063714096345131,-0.05006048735526236,0.20360065466381802
2022-05-03,1,BEAR,0.20586036312050576,-0.05156622354934104,0.22094926350173177
2022-05-04,2,SIDEWAYS,0.23139442226288617,-0.016816208393632404,0.5273322422241331
2022-05-05,3,HIGH_VOL,0.2559011479585354,-0.04328614203901271,0.18068739770808287
2022-05-06,3,HIGH_VOL,0.25526654636259355,-0.04873876485937956,0.1476268412433793
2022-05-09,3,HIGH_VOL,0.26143144849871164,-0.07084043567445752,0.036729857819796416
2022-05-10,3,HIGH_VOL,0.2598348930183987,-0.06230456763786196,0.07815964523259934
2022-05-11,3,HIGH_VOL,0.2611805183094246,-0.0701836609156683,0.0075716603569292275
2022-05-12,3,HIGH_VOL,0.25621732076160614,-0.08207180557972271,0.11817116060933607
2022-05-13,3,HIGH_VOL,0.2649285403063995,-0.06513766808312471,0.22790152403229097
2022-05-16,3,HIGH_VOL,0.2653396732715719,-0.06277504152944946,0.23704572098420387
2022-05-17,3,HIGH_VOL,0.26338406550823257,-0.06486610602451137,0.33599062133567176
2022-05-18,3,HIGH_VOL,0.2839709466597723,-0.10373727871376037,0.06846424384509153
2022-05-19,3,HIGH_VOL,0.28345115821107286,-0.10104007606096399,0.06562167906465032
2022-05-20,3,HIGH_VOL,0.2701581643192638,-0.07456712523719167,0.18187083695284717
2022-05-23,3,HIGH_VOL,0.28067170936965546,-0.06259384660680112,0.3631624674185834
2022-05-24,3,HIGH_VOL,0.27002011536215326,-0.0386007237635706,0.3762347472388837
2022-05-25,3,HIGH_VOL,0.27122226415993556,-0.034611448865346395,0.43317838465882286
2022-05-26,3,HIGH_VOL,0.26959945121498724,-0.036301288873122894,0.5854154561284561
