time,regime_id,regime,volatility,momentum,price_position
2021-03-10,1,BEAR,0.17749496395186343,-0.06296598639455786,0.2645935624514679
2021-03-11,1,BEAR,0.17661828149554382,-0.06517610028762155,0.2812321734009563
2021-03-12,1,BEAR,0.17558309249765985,-0.05857236698051238,0.2939317319662495
2021-03-15,1,BEAR,0.1781280928760577,-0.05155770074594124,0.3634590376876822
2021-03-16,2,SIDEWAYS,0.17391075553749388,-0.037854363535297364,0.40591966170500987
2021-03-17,2,SIDEWAYS,0.167300917107057,-0.02577842960288812,0.37914023957863646
2021-03-18,2,SIDEWAYS,0.1678132210245486,-0.023943661971830954,0.4171952078634817
2021-03-19,2,SIDEWAYS,0.16919093859273818,-0.020085518172611727,0.4820295982746987
2021-03-22,2,SIDEWAYS,0.15474970178820574,-0.03887414288874158,0.4566596194181347
2021-03-23,2,SIDEWAYS,0.15595740113210624,-0.044742233789246466,0.37079455974439507
2021-03-24,2,SIDEWAYS,0.15764213185483672,-0.03598642861115753,0.45482156412643776
2021-03-25,2,SIDEWAYS,0.15291026316602765,-0.02833164357327933,0.515422885520853
2021-03-26,2,SIDEWAYS,0.12154618415548742,0.002024525682554401,0.7015457787513014
2021-03-29,2,SIDEWAYS,0.1280888707908162,-0.006268136970400406,0.48084054382189917
2021-03-30,2,SIDEWAYS,0.13628569048909334,-0.027457314259344612,0.1569839307593349
2021-03-31,2,SIDEWAYS,0.14728363507200848,-0.00011656370206325484,0.5228677378834515
2021-04-01,2,SIDEWAYS,0.14565667841913205,0.0162874110660316,0.6810877625857751
2021-04-02,2,SIDEWAYS,0.14548125946505525,0.017603768030615363,0.6810877625857751
2021-04-05,2,SIDEWAYS,0.13719294970625948,0.030274135876042774,0.672258064429385
2021-04-06,2,SIDEWAYS,0.11481402712225852,0.015201817228726044,0.8543563067809676
2021-04-07,2,SIDEWAYS,0.11466192586338612,0.011499593448716539,0.8361508451448423
2021-04-08,2,SIDEWAYS,0.11894225356050414,0.020666434459537975,0.9853836783209029
2021-04-09,2,SIDEWAYS,0.12258812289222927,0.014536574020235005,0.8221680875977858
2021-04-12,2,SIDEWAYS,0.1241430553569563,0.0020240573675687212,0.674786845228406
2021-04-13,2,SIDEWAYS,0.12772108905436708,0.00964815991680612,0.8562728378981378
2021-04-14,2,SIDEWAYS,0.12980433220250576,0.005326848474321189,0.7186358099002869
2021-04-15,2,SIDEWAYS,0.1431976932847799,0.019797979797979703,0.9592711681715684
2021-04-16,2,SIDEWAYS,0.14432114554827313,0.02210484009875402,0.9581005585700093
2021-04-19,2,SIDEWAYS,0.1457704242546372,0.018698578908002972,0.8249336869297127
2021-04-20,2,SIDEWAYS,0.1427280313354755,0.03089675960813887,0.8938992041649958
2021-04-21,2,SIDEWAYS,0.14431734605706387,0.03456035079621511,0.9562345168491948
2021-04-22,2,SIDEWAYS,0.14531024819327498,0.032983595153904144,0.8645747315553607
2021-04-23,2,SIDEWAYS,0.14564146493737565,0.026265658373261003,0.8298926506333688
2021-04-26,2,SIDEWAYS,0.13736736752170978,0.03965658217497947,0.8488852187573162
2021-04-27,0,BULL,0.12174687804960196,0.05504151838671412,0.8381502889481287
2021-04-28,2,SIDEWAYS,0.10985925544692061,0.03398228025180705,0.7336956520941635
2021-04-29,2,SIDEWAYS,0.10892189379169494,0.023084934043045457,0.6080729165874897
2021-04-30,2,SIDEWAYS,0.10897569756194402,0.022737792177736527,0.6002604165885081
2021-05-03,2,SIDEWAYS,0.11744223621558832,0.036441462285978776,0.9062087185064437
2021-05-04,2,SIDEWAYS,0.12067284662805865,0.018932874354561147,0.6920052423732627
2021-05-05,2,SIDEWAYS,0.12118545457976515,0.024517684887459756,0.800786369488756
2021-05-06,2,SIDEWAYS,0.13126681155479525,0.032703901717665795,0.969601677047213
2021-05-07,2,SIDEWAYS,0.1286838171410799,0.049575882622650225,0.8904448104703097
2021-05-10,0,BULL,0.12383460844248122,0.060541351647717345,0.9293257513461145
2021-05-11,0,BULL,0.12265522167122941,0.05064087891966129,0.9105263157096026
2021-05-12,2,SIDEWAYS,0.1234425336633322,0.04981857973852444,0.7899910633789103
2021-05-13,2,SIDEWAYS,0.11007371634065465,0.03237491510074708,0.7568157032980578
2021-05-14,2,SIDEWAYS,0.1101789140477342,0.03252443545669026,0.9027027026051133
2021-05-17,0,BULL,0.11792674032325241,0.05478368914492271,0.9851787270283189
2021-05-18,0,BULL,0.11804771375023584,0.05038236617183989,0.9348722175651377
2021-05-19,2,SIDEWAYS,0.11743404243375612,0.049300094807874784,0.9283101681837377
2021-05-20,0,BULL,0.11332550899278786,0.056060606060606144,0.9312362837650897
2021-05-21,0,BULL,0.113576944893816,0.05563055461806732,0.893196781207521
2021-05-24,0,BULL,0.11355760022517358,0.058648390539857376,0.9502560350438733
2021-05-25,0,BULL,0.11370219663011842,0.06701146840566685,0.9781718962497833
2021-05-26,0,BULL,0.11166733422806811,0.07176278256947954,0.9237555134893669
2021-05-27,0,BULL,0.11046160971806035,0.07363004015155794,0.9013333332732447
2021-05-28,0,BULL,0.109502249218223,0.07784126265769076,0.9458361543029223
2021-06-01,0,BULL,0.1039062529304872,0.06317669382743607,0.9053333332729774
2021-06-02,0,BULL,0.09396073164196277,0.07539414414414414,0.9379586390301565
2021-06-03,2,SIDEWAYS,0.12425172115465075,0.04987950456761747,0.6659388645803533
2021-06-04,2,SIDEWAYS,0.11470967717877169,0.04202236052211261,0.7545126353109641
2021-06-07,2,SIDEWAYS,0.1123082623448877,0.03685906186861798,0.8158844764606594
