time,regime_id,regime,volatility,momentum,price_position
2021-03-10,3,HIGH_VOL,0.8227797413954485,0.1759687532120464,0.8941473988432845
2021-03-11,3,HIGH_VOL,0.7830221848948784,0.27830549186592424,0.9685580050589312
2021-03-12,3,HIGH_VOL,0.7714262809352365,0.1911992562751781,0.8835568101616912
2021-03-15,3,HIGH_VOL,0.7725112785434987,0.17508176614881443,0.7392215568857848
2021-03-16,3,HIGH_VOL,0.7766854455357814,0.13432386306595734,0.6799401197600718
2021-03-17,3,HIGH_VOL,0.7429567079283879,0.09130718345290223,0.8038922155683809
2021-03-18,3,HIGH_VOL,0.7435040606211077,0.08887636226982343,0.7670658682630137
2021-03-19,3,HIGH_VOL,0.7215704136287504,0.05584116291437691,0.8634730538916985
2021-03-22,3,HIGH_VOL,0.7436159436513582,0.029120879120879017,0.6616766467061905
2021-03-23,3,HIGH_VOL,0.5995358545413256,0.14482900700453238,0.6245508982032189
2021-03-24,3,HIGH_VOL,0.5946981767147931,0.1042687193841847,0.6041916167661052
2021-03-25,3,HIGH_VOL,0.6209291077987914,0.055600000000000094,0.4574850299398458
2021-03-26,3,HIGH_VOL,0.5757479258749243,0.16041355787678535,0.5402049053085748
2021-03-29,3,HIGH_VOL,0.6014190368674184,0.18461227378424838,0.7824197860957336
2021-03-30,3,HIGH_VOL,0.5933721214015163,0.24119409151947102,0.8823529411758807
2021-03-31,3,HIGH_VOL,0.5646514544653938,0.15878411187724573,0.854278074865739
2021-04-01,3,HIGH_VOL,0.5201618314076765,0.2269148174659985,0.8763368983951361
2021-04-02,3,HIGH_VOL,0.5182506965445929,0.1964499401675308,0.8426201616326306
2021-04-05,3,HIGH_VOL,0.49474695142082564,0.14194955433339662,0.8508490133080763
2021-04-06,3,HIGH_VOL,0.47741180663684846,0.06880028930476456,0.7494263423581923
2021-04-07,3,HIGH_VOL,0.48881935479311095,-0.009090114500480695,0.5268471776039221
2021-04-08,3,HIGH_VOL,0.49552808440500695,-0.0001708233686368299,0.6961909132623256
2021-04-09,3,HIGH_VOL,0.49344174328327006,0.02558099202219899,0.7517209729226693
2021-04-12,3,HIGH_VOL,0.5032705798368885,0.05975471862224935,0.876923076922306
2021-04-13,3,HIGH_VOL,0.5239669162854014,0.13390565536773158,0.944884726224103
2021-04-14,3,HIGH_VOL,0.5197012605247322,0.07188593870058901,0.7913043478255576
2021-04-15,3,HIGH_VOL,0.5211917609440412,0.10811044003451253,0.8876254180596069
2021-04-16,3,HIGH_VOL,0.5279519741003244,0.04692746809939563,0.7632107023406266
