date,bullish_prob,bearish_prob,net_prob,mean_drift
2025-03-02,0.39285714285714285,0.6071428571428571,-0.21428571428571425,-107.24936904761749
2025-03-03,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-183.14023809523783
2025-03-04,0.39285714285714285,0.6071428571428571,-0.21428571428571425,-153.30101785714137
2025-03-05,0.32142857142857145,0.6785714285714286,-0.35714285714285715,-167.71055357143138
2025-03-06,0.39285714285714285,0.6071428571428571,-0.21428571428571425,-164.9821845238104
2025-03-07,0.21428571428571427,0.7857142857142857,-0.5714285714285714,-234.92024404761833
2025-03-08,0.21428571428571427,0.7857142857142857,-0.5714285714285714,-259.6775734126981
2025-03-09,0.35714285714285715,0.6428571428571429,-0.28571428571428575,-198.57161904761855
2025-03-10,0.32142857142857145,0.6785714285714286,-0.35714285714285715,-75.01378571428644
2025-03-11,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-85.64796428571442
2025-03-12,0.39285714285714285,0.6071428571428571,-0.21428571428571425,-44.16405357142867
2025-03-13,0.5,0.5,0.0,51.650261904759255
2025-03-14,0.35714285714285715,0.6428571428571429,-0.28571428571428575,-89.6303174603194
2025-03-15,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-121.75466468253944
2025-03-16,0.32142857142857145,0.6785714285714286,-0.35714285714285715,-100.27617460317535
2025-03-17,0.10714285714285714,0.8928571428571429,-0.7857142857142858,-321.1598353174585
2025-03-18,0.35714285714285715,0.6428571428571429,-0.28571428571428575,-138.42835317460023
2025-03-19,0.25,0.75,-0.5,-261.7781805555538
2025-03-20,0.32142857142857145,0.6785714285714286,-0.35714285714285715,-172.9709335317462
2025-03-21,0.32142857142857145,0.6785714285714286,-0.35714285714285715,-206.7380873015861
2025-03-22,0.35714285714285715,0.6428571428571429,-0.28571428571428575,-252.27588095237869
2025-03-23,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-207.5990019841252
2025-03-24,0.39285714285714285,0.6071428571428571,-0.21428571428571425,-199.00992460317633
2025-03-25,0.42857142857142855,0.5714285714285714,-0.14285714285714285,-86.16280555555386
2025-03-26,0.42857142857142855,0.5714285714285714,-0.14285714285714285,140.98497619047572
2025-03-27,0.39285714285714285,0.6071428571428571,-0.21428571428571425,116.02895833333294
2025-03-28,0.4642857142857143,0.5357142857142857,-0.0714285714285714,280.4703630952367
2025-03-29,0.39285714285714285,0.6071428571428571,-0.21428571428571425,213.7649464285683
2025-03-30,0.39285714285714285,0.6071428571428571,-0.21428571428571425,156.45323214285312
2025-03-31,0.42857142857142855,0.5714285714285714,-0.14285714285714285,378.69342658730574
2025-04-01,0.5714285714285714,0.42857142857142855,0.14285714285714285,771.3246686507927
2025-04-02,0.39285714285714285,0.6071428571428571,-0.21428571428571425,695.1197678571417
2025-04-03,0.5357142857142857,0.4642857142857143,0.0714285714285714,814.7657579365083
2025-04-04,0.7857142857142857,0.21428571428571427,0.5714285714285714,1133.202226190477
2025-04-05,0.6428571428571429,0.35714285714285715,0.28571428571428575,558.0067559523789
2025-04-06,0.6785714285714286,0.32142857142857145,0.35714285714285715,752.5598928571434
2025-04-07,0.8214285714285714,0.17857142857142858,0.6428571428571428,734.810428571428
2025-04-08,0.8214285714285714,0.17857142857142858,0.6428571428571428,832.7088214285725
2025-04-09,0.75,0.25,0.5,788.5019166666677
2025-04-10,0.75,0.25,0.5,833.617053571431
2025-04-11,0.8928571428571429,0.10714285714285714,0.7857142857142858,1499.4961599927876
2025-04-12,0.8214285714285714,0.17857142857142858,0.6428571428571428,1306.3383432539704
2025-04-13,0.8571428571428571,0.14285714285714285,0.7142857142857142,1299.893184523806
2025-04-14,0.75,0.25,0.5,1418.3804613095222
2025-04-15,0.8214285714285714,0.17857142857142858,0.6428571428571428,1882.0448204365098
2025-04-16,0.6428571428571429,0.35714285714285715,0.28571428571428575,1782.0452450396829
2025-04-17,0.7142857142857143,0.2857142857142857,0.4285714285714286,1748.2636408730184
2025-04-18,0.7142857142857143,0.2857142857142857,0.4285714285714286,1652.1775863095227
2025-04-19,0.75,0.25,0.5,1777.0431309523808
2025-04-20,0.7857142857142857,0.21428571428571427,0.5714285714285714,1607.5996726190494
2025-04-21,0.75,0.25,0.5,1296.847267496394
2025-04-22,0.8928571428571429,0.10714285714285714,0.7857142857142858,1309.3960735930764
2025-04-23,0.75,0.25,0.5,1028.26857151484
2025-04-24,0.6428571428571429,0.35714285714285715,0.28571428571428575,1106.1562182539656
2025-04-25,0.6785714285714286,0.32142857142857145,0.35714285714285715,1066.9218075396834
2025-04-26,0.5357142857142857,0.4642857142857143,0.0714285714285714,760.1307341269837
2025-04-27,0.5357142857142857,0.4642857142857143,0.0714285714285714,724.9251051587307
2025-04-28,0.42857142857142855,0.5714285714285714,-0.14285714285714285,776.6656726190498
2025-04-29,0.6428571428571429,0.35714285714285715,0.28571428571428575,1355.3306646825415
2025-04-30,0.8928571428571429,0.10714285714285714,0.7857142857142858,1340.9048184523815
2025-05-01,0.8214285714285714,0.17857142857142858,0.6428571428571428,1400.7308988095253
2025-05-02,0.6785714285714286,0.32142857142857145,0.35714285714285715,1161.8532413419894
2025-05-03,0.6785714285714286,0.32142857142857145,0.35714285714285715,1176.4673603896094
2025-05-04,0.5714285714285714,0.42857142857142855,0.14285714285714285,996.6548717532462
2025-05-05,0.5357142857142857,0.4642857142857143,0.0714285714285714,853.1856217532501
2025-05-06,0.6428571428571429,0.35714285714285715,0.28571428571428575,1165.0791162008277
2025-05-07,0.6071428571428571,0.39285714285714285,0.21428571428571425,1152.5596790890263
